5.000000	3.459871
2.500000	3.075610
4.500000	3.438263
5.000000	4.302479
4.000000	3.217218
4.000000	3.308203
2.300000	3.116548
5.000000	4.311963
3.300000	3.372606
3.200000	3.575186
2.500000	2.925602
4.000000	3.179868
5.000000	4.277654
4.000000	3.304047
3.300000	3.314216
3.500000	3.946366
4.000000	3.075098
3.000000	2.673830
4.000000	3.780610
3.000000	3.172115
2.500000	2.941546
2.500000	3.042773
3.300000	3.562905
3.000000	3.057126
4.500000	4.131464
2.000000	2.965541
3.500000	3.602501
4.500000	4.117054
4.200000	3.458694
2.500000	2.639267
4.000000	3.263527
3.500000	3.315901
3.300000	3.292383
2.200000	2.859973
3.200000	3.364034
3.200000	4.150913
2.500000	2.738789
2.500000	3.887150
1.000000	3.303822
3.200000	2.900115
5.000000	3.851174
2.200000	3.316685
3.000000	3.390325
2.500000	3.907424
2.500000	3.209680
4.000000	3.693298
4.000000	3.006728
3.200000	3.466816
3.500000	4.143384
4.000000	3.608647
2.500000	2.518030
1.500000	3.107713
3.200000	3.070466
4.500000	3.951157
4.200000	3.557147
2.700000	3.070712
2.000000	2.709812
2.500000	3.811503
3.200000	3.511087
3.500000	3.937549
3.700000	3.528132
3.500000	3.945387
3.700000	2.872318
3.200000	3.818240
4.000000	3.044995
4.300000	3.430516
3.500000	3.340862
3.000000	3.327563
4.000000	3.342274
4.200000	3.283073
4.200000	3.677527
2.200000	2.850127
4.200000	3.464661
2.500000	3.140927
3.000000	3.053551
3.200000	3.640926
3.000000	3.158057
3.700000	4.544354
2.700000	3.206897
2.000000	3.502497
2.500000	3.001814
4.000000	3.415459
2.500000	3.321250
3.500000	2.696774
3.000000	2.929639
3.500000	3.021247
2.500000	4.574055
3.500000	3.696344
2.200000	3.392840
3.200000	2.831274
2.200000	3.411762
5.000000	3.517962
4.200000	4.074567
4.000000	3.487239
4.700000	3.729363
4.300000	3.838633
3.500000	3.826837
2.200000	2.927090
3.200000	3.102704
4.200000	3.792666
5.000000	4.177181
4.800000	3.183409
3.500000	3.995921
2.700000	3.367623
3.700000	3.873683
4.800000	3.692450
3.200000	3.021163
4.300000	3.556127
4.200000	4.023141
3.200000	3.024878
3.700000	3.069563
4.000000	3.499596
3.500000	3.675446
3.700000	3.491442
5.000000	3.313211
2.200000	2.645905
2.700000	2.430308
2.200000	3.154723
2.200000	3.444632
2.500000	2.849771
1.500000	3.212790
2.500000	3.051876
2.500000	3.623891
2.500000	3.243434
3.500000	3.113591
5.000000	3.421007
3.200000	2.894248
3.200000	2.639203
4.000000	3.438395
3.000000	2.895693
3.500000	3.620556
